Dataset,Escenario,Metrica,Iteracion,Tiempo_ms,Memoria_Total_Bytes
Red,AddArista,EccentricityCentrality,7,3.726,119312
Red,AddArista,EccentricityCentrality,8,3.9501,119312
Red,AddArista,EccentricityCentrality,9,3.7479,119312
Red,AddArista,EccentricityCentrality,10,3.7047,119312
Red,AddArista,HarmonicCentrality,1,3.6934,119312
Red,AddArista,HarmonicCentrality,2,3.872,119312
Red,AddArista,HarmonicCentrality,3,3.7178,119312
Red,AddArista,HarmonicCentrality,4,3.7224,119312
Red,AddArista,HarmonicCentrality,5,3.6994,119312
Red,AddArista,HarmonicCentrality,6,3.8108,119312
Red,AddArista,HarmonicCentrality,7,3.7418,119312
Red,AddArista,HarmonicCentrality,8,3.7288,119312
Red,AddArista,HarmonicCentrality,9,3.737,119312
Red,AddArista,HarmonicCentrality,10,3.8815,119312
Red,AddArista,AverageShortestPath,1,3.7488,113080
Red,AddArista,AverageShortestPath,2,3.7717,113080
Red,AddArista,AverageShortestPath,3,3.7509,113080
Red,AddArista,AverageShortestPath,4,3.7585,113080
Red,AddArista,AverageShortestPath,5,3.7215,113080
Red,AddArista,AverageShortestPath,6,3.7229,113080
Red,AddArista,AverageShortestPath,7,3.8757,113080
Red,AddArista,AverageShortestPath,8,3.8176,113080
Red,AddArista,AverageShortestPath,9,3.7487,113080
Red,AddArista,AverageShortestPath,10,3.7872,113080
Red,AddArista,BetweennessCentrality,1,30.9178,154524
Red,AddArista,BetweennessCentrality,2,30.5328,154524
Red,AddArista,BetweennessCentrality,3,30.4264,154524
Red,AddArista,BetweennessCentrality,4,30.7706,154524
Red,AddArista,BetweennessCentrality,5,30.592,154524
Red,AddArista,BetweennessCentrality,6,30.898,154524
Red,AddArista,BetweennessCentrality,7,31.0234,154524
Red,AddArista,BetweennessCentrality,8,31.0438,154524
Red,AddArista,BetweennessCentrality,9,31.6577,154524
Red,AddArista,BetweennessCentrality,10,31.3596,154524
Red,RemoveArista,DegreeCentrality,1,0.0016,109832
Red,RemoveArista,DegreeCentrality,2,0.0019,109832
Red,RemoveArista,DegreeCentrality,3,0.0014,109832
Red,RemoveArista,DegreeCentrality,4,0.0013,109832
Red,RemoveArista,DegreeCentrality,5,0.0013,109832
Red,RemoveArista,DegreeCentrality,6,0.0014,109832
Red,RemoveArista,DegreeCentrality,7,0.0013,109832
Red,RemoveArista,DegreeCentrality,8,0.0013,109832
Red,RemoveArista,DegreeCentrality,9,0.0013,109832
Red,RemoveArista,DegreeCentrality,10,0.0013,109832
Red,RemoveArista,ClosenessCentrality,1,3.4487,119248
Red,RemoveArista,ClosenessCentrality,2,2.9494,119248
Red,RemoveArista,ClosenessCentrality,3,2.8515,119248
Red,RemoveArista,ClosenessCentrality,4,2.8573,119248
Red,RemoveArista,ClosenessCentrality,5,2.9305,119248
Red,RemoveArista,ClosenessCentrality,6,2.9704,119248
Red,RemoveArista,ClosenessCentrality,7,2.8519,119248
Red,RemoveArista,ClosenessCentrality,8,2.8301,119248
Red,RemoveArista,ClosenessCentrality,9,2.8053,119248
Red,RemoveArista,ClosenessCentrality,10,2.7917,119248
Red,RemoveArista,PageRank,1,0.3301,116064
Red,RemoveArista,PageRank,2,0.3515,116064
Red,RemoveArista,PageRank,3,0.3296,116064
Red,RemoveArista,PageRank,4,0.329,116064
Red,RemoveArista,PageRank,5,0.328,116064
Red,RemoveArista,PageRank,6,0.3396,116064
Red,RemoveArista,PageRank,7,0.33,116064
Red,RemoveArista,PageRank,8,0.3274,116064
Red,RemoveArista,PageRank,9,0.3275,116064
Red,RemoveArista,PageRank,10,0.3273,116064
Red,RemoveArista,EccentricityCentrality,1,2.7963,119248
Red,RemoveArista,EccentricityCentrality,2,2.7818,119248
Red,RemoveArista,EccentricityCentrality,3,2.7865,119248
Red,RemoveArista,EccentricityCentrality,4,2.7773,119248
Red,RemoveArista,EccentricityCentrality,5,2.8366,119248
Red,RemoveArista,EccentricityCentrality,6,2.7895,119248
Red,RemoveArista,EccentricityCentrality,7,3.3696,119248
Red,RemoveArista,EccentricityCentrality,8,2.7897,119248
Red,RemoveArista,EccentricityCentrality,9,2.7931,119248
Red,RemoveArista,EccentricityCentrality,10,2.8614,119248
Red,RemoveArista,HarmonicCentrality,1,2.7161,119248
Red,RemoveArista,HarmonicCentrality,2,2.7447,119248
Red,RemoveArista,HarmonicCentrality,3,2.7071,119248
Red,RemoveArista,HarmonicCentrality,4,2.7292,119248
Red,RemoveArista,HarmonicCentrality,5,2.8115,119248
Red,RemoveArista,HarmonicCentrality,6,2.7229,119248
Red,RemoveArista,HarmonicCentrality,7,2.7347,119248
Red,RemoveArista,HarmonicCentrality,8,2.7089,119248
Red,RemoveArista,HarmonicCentrality,9,2.7147,119248
Red,RemoveArista,HarmonicCentrality,10,2.7391,119248
Red,RemoveArista,AverageShortestPath,1,2.8015,113016
Red,RemoveArista,AverageShortestPath,2,2.8031,113016
Red,RemoveArista,AverageShortestPath,3,2.776,113016
Red,RemoveArista,AverageShortestPath,4,2.782,113016
Red,RemoveArista,AverageShortestPath,5,3.1185,113016
Red,RemoveArista,AverageShortestPath,6,2.784,113016
Red,RemoveArista,AverageShortestPath,7,2.7876,113016
Red,RemoveArista,AverageShortestPath,8,2.7888,113016
Red,RemoveArista,AverageShortestPath,9,2.7933,113016
Red,RemoveArista,AverageShortestPath,10,2.7739,113016
Red,RemoveArista,BetweennessCentrality,1,21.3396,154452
Red,RemoveArista,BetweennessCentrality,2,22.1621,154452
Red,RemoveArista,BetweennessCentrality,3,21.845,154452
Red,RemoveArista,BetweennessCentrality,4,21.4475,154452
Red,RemoveArista,BetweennessCentrality,5,21.569,154452
Red,RemoveArista,BetweennessCentrality,6,20.1604,154452
Red,RemoveArista,BetweennessCentrality,7,21.8001,154452
Red,RemoveArista,BetweennessCentrality,8,21.4113,154452
Red,RemoveArista,BetweennessCentrality,9,21.5013,154452
Red,RemoveArista,BetweennessCentrality,10,21.443,154452
